name,version,directory,repository,summary,from package.json,from license,from readme
@babel/helper-validator-option,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/helper-validator-option,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-wrap-function,7.20.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/helper-wrap-function,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helpers,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/helpers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/highlight,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/highlight,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/parser,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/parser,https://github.com/babel/babel,MIT,MIT,,
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-async-generator-functions,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-async-generator-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-class-properties,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-class-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-class-static-block,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-class-static-block,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-decorators,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-decorators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-dynamic-import,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-dynamic-import,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-export-namespace-from,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-export-namespace-from,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-json-strings,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-json-strings,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-logical-assignment-operators,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-logical-assignment-operators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-nullish-coalescing-operator,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-nullish-coalescing-operator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-numeric-separator,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-numeric-separator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-object-rest-spread,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-object-rest-spread,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-optional-catch-binding,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-optional-catch-binding,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-optional-chaining,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-optional-chaining,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-private-methods,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-private-methods,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-private-property-in-object,7.20.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-private-property-in-object,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-unicode-property-regex,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-proposal-unicode-property-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-async-generators,7.8.4,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-async-generators,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators,MIT,MIT,MIT,
@babel/plugin-syntax-class-properties,7.12.13,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-class-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-class-static-block,7.14.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-class-static-block,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-decorators,7.19.0,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-decorators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-dynamic-import,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-dynamic-import,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import,MIT,MIT,MIT,
@babel/plugin-syntax-export-namespace-from,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-export-namespace-from,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from,MIT,MIT,MIT,
@babel/plugin-syntax-import-assertions,7.20.0,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-import-assertions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-json-strings,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-json-strings,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings,MIT,MIT,MIT,
@babel/plugin-syntax-jsx,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-jsx,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-logical-assignment-operators,7.10.4,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-logical-assignment-operators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-nullish-coalescing-operator,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator,MIT,MIT,MIT,
@babel/plugin-syntax-numeric-separator,7.10.4,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-numeric-separator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-object-rest-spread,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-object-rest-spread,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread,MIT,MIT,MIT,
@babel/plugin-syntax-optional-catch-binding,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-optional-catch-binding,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding,MIT,MIT,MIT,
@babel/plugin-syntax-optional-chaining,7.8.3,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-optional-chaining,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining,MIT,MIT,MIT,
@babel/plugin-syntax-private-property-in-object,7.14.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-private-property-in-object,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-top-level-await,7.14.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-syntax-top-level-await,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-arrow-functions,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-arrow-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-async-to-generator,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-async-to-generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-block-scoped-functions,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-block-scoped-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-block-scoping,7.20.11,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-block-scoping,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-classes,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-classes,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-computed-properties,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-computed-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-destructuring,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-destructuring,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-dotall-regex,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-dotall-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-duplicate-keys,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-duplicate-keys,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-exponentiation-operator,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-exponentiation-operator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-for-of,7.18.8,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-for-of,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-function-name,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-function-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-literals,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-member-expression-literals,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-member-expression-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-amd,7.20.11,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-modules-amd,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-commonjs,7.20.11,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-modules-commonjs,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-systemjs,7.20.11,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-modules-systemjs,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-umd,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-modules-umd,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-named-capturing-groups-regex,7.20.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-named-capturing-groups-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-new-target,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-new-target,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-object-super,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-object-super,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-parameters,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-parameters,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-property-literals,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-property-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-regenerator,7.20.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-regenerator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-reserved-words,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-reserved-words,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-runtime,7.19.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-runtime,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-shorthand-properties,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-shorthand-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-spread,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-spread,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-sticky-regex,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-sticky-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-template-literals,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-template-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-typeof-symbol,7.18.9,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-typeof-symbol,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-unicode-escapes,7.18.10,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-unicode-escapes,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-unicode-regex,7.18.6,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/plugin-transform-unicode-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/preset-env,7.20.2,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/preset-env,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/preset-modules,0.1.5,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/preset-modules,https://github.com/babel/preset-modules,MIT,MIT,MIT,
@babel/runtime,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/runtime,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/template,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/template,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/traverse,7.20.12,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/traverse,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/types,7.20.7,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@babel/types,https://github.com/babel/babel,MIT,MIT,MIT,
@capacitor/android,4.6.1,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/android,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/cli,3.9.0,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/send-intent/node_modules/@capacitor/cli,(none),MIT,MIT,MIT,
@capacitor/cli,4.6.1,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/cli,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/core,3.9.0,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/send-intent/node_modules/@capacitor/core,(none),MIT,MIT,MIT,
@capacitor/core,4.6.1,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/core,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/filesystem,4.1.4,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/filesystem,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@capacitor/ios,4.6.1,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/ios,https://github.com/ionic-team/capacitor,MIT,MIT,MIT,
@capacitor/preferences,4.0.2,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@capacitor/preferences,https://github.com/ionic-team/capacitor-plugins,MIT,MIT,MIT,
@eslint/eslintrc,1.4.1,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@eslint/eslintrc,eslint/eslintrc,MIT,MIT,,MIT
@hapi/hoek,9.3.0,/Users/user/Desktop/git/sam-ki/frontend-videoanruf/node_modules/@hapi/hoek,http://github.com/hapijs/hoek,BSD-3-Clause,BSD-3-Clause,,
